Bank,Product,Province,SalesAmount,ClientAge,ClientIncome,SaleDate
Scotiabank,Investment Product,Northwest Territories,62635,46,97494,2020-05-26
Scotiabank,Credit Product,Newfoundland and Labrador,39064,54,131247,2022-06-14
RBC,Deposit Account,New Brunswick,1356,53,142627,2021-07-27
Scotiabank,Deposit Account,New Brunswick,1986,65,126747,2020-03-15
TD,Deposit Account,Alberta,2497,31,149803,2021-08-15
RBC,Credit Product,British Columbia,30696,56,125984,2024-07-07
RBC,Investment Product,Nunavut,54811,62,52010,2021-07-21
RBC,Investment Product,Yukon,21263,53,107366,2024-05-21
RBC,Deposit Account,British Columbia,654,58,95268,2021-04-27
TD,Credit Product,Northwest Territories,20650,33,71095,2021-12-24
TD,Investment Product,Newfoundland and Labrador,97137,39,93869,2023-02-25
TD,Credit Product,Alberta,13422,40,90608,2022-03-10
Scotiabank,Investment Product,Ontario,27620,27,103041,2021-08-30
Scotiabank,Deposit Account,Manitoba,2065,27,72886,2024-11-22
RBC,Credit Product,Nunavut,14185,39,129708,2025-12-26
TD,Deposit Account,Prince Edward Island,718,45,49876,2023-02-13
TD,Deposit Account,Northwest Territories,1177,37,143650,2020-02-25
TD,Credit Product,Newfoundland and Labrador,40342,54,131112,2020-07-16
RBC,Investment Product,Alberta,74059,35,32236,2022-09-29
Scotiabank,Credit Product,Manitoba,43209,49,77755,2020-07-21
RBC,Investment Product,Newfoundland and Labrador,56628,45,32606,2023-06-29
TD,Credit Product,Saskatchewan,38703,51,70928,2020-05-14
RBC,Investment Product,Newfoundland and Labrador,29810,31,53083,2021-06-02
RBC,Investment Product,Northwest Territories,66736,42,121366,2022-12-05
Scotiabank,Investment Product,Manitoba,71486,31,82892,2022-07-24
RBC,Credit Product,Nunavut,17300,34,76837,2025-08-09
TD,Credit Product,Prince Edward Island,45316,46,47782,2025-12-17
TD,Investment Product,British Columbia,76701,62,50150,2024-07-05
TD,Investment Product,Alberta,58314,29,77675,2025-11-02
Scotiabank,Investment Product,Yukon,66385,38,36286,2024-02-03
TD,Deposit Account,Nova Scotia,1174,32,85587,2024-07-17
Scotiabank,Credit Product,Saskatchewan,19295,65,101284,2020-06-21
Scotiabank,Deposit Account,Saskatchewan,631,44,61542,2025-06-23
Scotiabank,Deposit Account,Nova Scotia,1654,31,109730,2025-12-27
Scotiabank,Credit Product,Yukon,19288,52,148219,2022-02-21
RBC,Credit Product,Manitoba,41902,44,75804,2022-05-26
Scotiabank,Investment Product,Yukon,38849,27,94672,2021-05-05
Scotiabank,Credit Product,Ontario,43111,55,84099,2022-11-29
Scotiabank,Credit Product,New Brunswick,23554,29,111252,2022-07-21
RBC,Investment Product,Yukon,68196,65,107391,2024-08-28
TD,Credit Product,Nunavut,11824,55,51957,2021-06-29
TD,Deposit Account,Yukon,962,59,72908,2022-09-23
TD,Investment Product,Alberta,24219,36,118797,2020-06-11
RBC,Credit Product,British Columbia,27826,57,107588,2022-12-11
TD,Deposit Account,Saskatchewan,2006,63,60429,2024-08-02
TD,Credit Product,British Columbia,33504,39,96612,2022-11-21
TD,Deposit Account,New Brunswick,2340,37,102673,2020-02-11
Scotiabank,Investment Product,Alberta,68086,26,36915,2022-08-09
Scotiabank,Investment Product,New Brunswick,82480,40,98200,2025-09-18
RBC,Credit Product,Ontario,22575,31,68277,2022-03-04
TD,Credit Product,Yukon,21417,49,93050,2024-02-07
RBC,Investment Product,Prince Edward Island,49289,33,33914,2021-06-17
RBC,Investment Product,Northwest Territories,56365,50,53254,2023-02-13
TD,Credit Product,Manitoba,40877,52,132326,2024-01-19
RBC,Investment Product,Ontario,72263,45,86524,2023-06-02
RBC,Credit Product,New Brunswick,31614,49,61979,2024-08-14
Scotiabank,Deposit Account,Yukon,1269,64,55975,2024-03-05
Scotiabank,Credit Product,Ontario,13477,33,127644,2025-11-23
Scotiabank,Credit Product,Northwest Territories,15213,59,149559,2025-05-03
TD,Deposit Account,Newfoundland and Labrador,2354,51,144621,2023-04-13
TD,Deposit Account,Nova Scotia,1826,64,55116,2023-02-05
TD,Deposit Account,Prince Edward Island,2077,38,142225,2024-12-03
Scotiabank,Credit Product,Ontario,37614,38,63533,2025-10-27
Scotiabank,Deposit Account,Northwest Territories,853,33,122828,2024-11-10
RBC,Credit Product,Alberta,37918,33,98486,2023-08-25
Scotiabank,Investment Product,British Columbia,25436,26,149069,2021-06-08
RBC,Credit Product,Nova Scotia,38549,35,39582,2022-04-02
TD,Investment Product,Newfoundland and Labrador,79960,25,31845,2025-06-15
RBC,Investment Product,Alberta,94544,31,77786,2020-12-30
RBC,Investment Product,Saskatchewan,98220,54,43796,2020-04-11
TD,Deposit Account,Newfoundland and Labrador,2356,53,33057,2023-03-25
Scotiabank,Deposit Account,British Columbia,813,53,117374,2023-02-01
TD,Credit Product,Ontario,24947,50,140987,2020-11-13
Scotiabank,Deposit Account,New Brunswick,1985,51,76182,2024-01-12
RBC,Credit Product,Newfoundland and Labrador,42550,40,63797,2020-10-14
TD,Credit Product,Quebec,17112,39,88259,2025-08-25
Scotiabank,Deposit Account,Manitoba,641,65,106634,2022-02-08
RBC,Investment Product,New Brunswick,35037,35,91557,2021-08-18
TD,Credit Product,Quebec,20890,39,104938,2022-01-15
TD,Credit Product,Nunavut,30064,40,46909,2020-06-11
Scotiabank,Deposit Account,Manitoba,697,45,42931,2023-08-14
RBC,Deposit Account,British Columbia,2144,38,148936,2023-06-09
TD,Investment Product,Saskatchewan,92233,45,60270,2022-07-25
Scotiabank,Investment Product,Yukon,61334,60,81807,2023-01-06
TD,Investment Product,Manitoba,73777,56,97218,2025-11-04
RBC,Deposit Account,Ontario,2447,65,115296,2022-04-04
RBC,Deposit Account,Newfoundland and Labrador,2334,42,33946,2024-04-07
Scotiabank,Deposit Account,Nunavut,2007,41,101275,2024-12-03
TD,Credit Product,Quebec,29294,61,43370,2022-04-20
TD,Credit Product,Yukon,18010,64,53328,2025-11-05
Scotiabank,Deposit Account,Yukon,1359,48,108747,2024-01-31
RBC,Credit Product,Manitoba,41953,54,116313,2022-06-06
TD,Investment Product,Nunavut,50210,44,62787,2020-05-06
TD,Deposit Account,Manitoba,2274,40,66449,2024-07-03
TD,Credit Product,Nunavut,39908,41,53550,2020-05-03
RBC,Investment Product,Ontario,53846,56,61340,2021-01-17
TD,Investment Product,Prince Edward Island,37484,61,100628,2025-04-10
RBC,Credit Product,Ontario,37989,50,141161,2023-09-09
TD,Deposit Account,Yukon,1945,36,102170,2022-12-04
TD,Investment Product,Nova Scotia,99013,61,97770,2020-02-16
Scotiabank,Investment Product,Quebec,31508,51,121735,2023-05-02
Scotiabank,Investment Product,Quebec,66137,55,110549,2021-07-17
TD,Deposit Account,Ontario,1944,53,40355,2024-12-30
TD,Investment Product,Manitoba,88908,61,120927,2024-04-03
RBC,Credit Product,Prince Edward Island,12829,58,99027,2021-08-14
RBC,Credit Product,British Columbia,44743,35,125331,2023-12-25
RBC,Credit Product,Prince Edward Island,25292,26,91090,2022-08-23
TD,Credit Product,New Brunswick,48792,63,139422,2024-04-17
RBC,Deposit Account,Alberta,796,56,149217,2022-03-24
Scotiabank,Investment Product,Newfoundland and Labrador,32806,31,62384,2022-12-25
RBC,Credit Product,Prince Edward Island,49609,57,101324,2023-08-16
RBC,Investment Product,Quebec,27958,51,137273,2025-05-09
TD,Credit Product,Nunavut,29594,32,140306,2025-07-18
TD,Investment Product,Alberta,35841,54,145170,2023-10-29
RBC,Investment Product,Newfoundland and Labrador,31531,50,60579,2020-04-27
Scotiabank,Credit Product,New Brunswick,13124,48,63707,2020-02-16
Scotiabank,Investment Product,Prince Edward Island,97689,49,134442,2021-02-28
RBC,Investment Product,Northwest Territories,31666,26,73264,2021-12-10
TD,Deposit Account,Manitoba,507,47,102279,2022-11-16
TD,Investment Product,British Columbia,32091,57,134056,2020-01-31
TD,Investment Product,Yukon,25177,46,54462,2025-10-09
Scotiabank,Credit Product,British Columbia,16192,36,131517,2022-03-27
RBC,Deposit Account,Manitoba,2059,45,120001,2020-10-04
TD,Credit Product,Saskatchewan,16966,26,40355,2020-05-24
TD,Deposit Account,Newfoundland and Labrador,1538,54,67358,2022-08-14
RBC,Credit Product,Nunavut,21837,63,130651,2024-08-23
TD,Deposit Account,Newfoundland and Labrador,1751,53,96635,2024-09-03
RBC,Investment Product,Nunavut,33811,27,100198,2022-08-10
TD,Investment Product,Newfoundland and Labrador,41705,49,78943,2023-06-13
RBC,Deposit Account,Nova Scotia,823,64,126441,2025-10-22
Scotiabank,Investment Product,Prince Edward Island,88482,38,135126,2020-12-29
TD,Deposit Account,Nunavut,1450,58,52422,2022-05-17
RBC,Credit Product,Prince Edward Island,20165,48,105616,2023-04-05
RBC,Investment Product,Prince Edward Island,82113,34,30213,2023-11-27
